customer_id,total_usage_app_facebook_daily,total_usage_app_helakuru_daily,total_usage_app_other,total_usage_app_tiktok_daily,total_usage_app_whatsapp_daily,total_usage_app_youtube_daily,total_usage_pack_data,total_usage_pack_vas,total_usage_voice_d2d_incoming,total_usage_voice_d2d_outgoing,total_usage_voice_d2nd_outgoing,total_usage_voice_nd2d_incoming,churn,prediction,segment
0000f727854b50bb95c054b39c1fe5c92e5ebcfa4bcb5dc279f56aa96a365e5a,9527.02,2608.77,13222.84,15008.81,101.2,29193.59,4995.53,3147.77,348.7,2443.64,2704.65,1292.27,0,0,Loyal
0001702d0abcdbeeb23f7c434aa6858030f365caf1464aa9c383837cba2f82a6,4234.22,382.78000000000003,3805.46,13091.43,130.41,4701.22,3774.61,245.72,4240.03,436.49,261.66,1402.7,0,0,Loyal
0001ae52a920c36edc7ab364ea58a58ca725f0ad44c02ba74ecefe08bb2b91a3,2439.59,392.8,20379.19,10975.92,295.36,11389.85,18487.47,891.38,360.91,615.65,2356.92,1972.29,0,0,Loyal
000205e54ddf8bc7512490895ce397647faaedc114f411b5c0a693b6f250617d,7838.4800000000005,770.22,19079.55,13719.89,2060.92,21754.69,10618.88,2489.91,1079.68,2914.7400000000002,3926.22,3609.86,0,0,Loyal
0002511664bff302e40b19ed6872ad4390ac59901e55e2c81a9cc02b21de783a,3780.52,1726.28,11956.88,10707.75,1348.42,10435.73,1884.24,3136.86,980.67,3943.67,2239.24,1048.7,0,0,Loyal
00034ffafc06f53a7b5cad2d868905892f098ffe98b9bf296d39246d69d2f690,961.28,132.16,4955.14,6144.68,110.54,1263.97,2832.78,469.49,658.02,1820.56,214.18,1604.79,0,0,Loyal
0003dbd80ea9a5fb7a2efabdb984c5fa75450cda717e39853758fb19531a663b,11217.68,1685.18,7811.16,13031.27,1922.06,14214.77,20926.51,2232.5,857.4,334.47,1164.96,788.3,0,0,Loyal
00049f6d0873b02d39ec46aeb294f1cc7c69305bbd172f46a01476c20d0458a9,794.86,1130.78,19051.18,3003.94,1579.57,1536.8700000000001,10866.92,295.45,987.23,3059.2400000000002,1022.43,1785.1200000000001,0,0,Loyal
00050a199532994483f7714b3d77232b11441f7128e889965487d2f8e8f1ab2f,7450.16,1525.35,19832.13,8433.8,131.12,5808.89,15272.28,3546.15,4702.56,949.8,2403.14,2966.63,0,0,Loyal
0005212086e5708f5e2a596558ba5fbf44e25fd47697e68cfa1a7dedffa02966,7024.04,795.92,7912.79,2418.75,1527.21,9403.68,1410.44,2963.69,172.72,3962.39,463.88,2651.69,0,0,Loyal
0005979f57859293006e88f5cd34bf31df13e8619dece162a01fe3703c8c1896,2523.08,645.68,2594.84,2121.82,316.01,7409.1900000000005,5115.35,381.57,3845.51,631.64,747.29,393.9,0,0,Loyal
000877fd1b07eb1646272c0bf682b5dd3746905779a99ab15884b2a64ae18b1b,5676.01,963.04,6362.4,12521.15,608.52,22790.43,9203.710000000001,258.77,1582.9,299.79,185.1,206.42,0,0,Loyal
000cda0704a843ff7cb7137cc2a87bddfa7390ea5561c3cc51ac0ff05eb8ad98,8329.96,964.31,5707.5,5668.62,1847.52,18499.510000000002,17086.96,2591.17,1051.18,185.5,3178.54,1318.61,0,0,Loyal
000de99fc84bf5fe1f74cc5f74fed27614dbb4e90e1e7d8c1f15166bbf945ce1,15010.3,1623.35,13368.76,10347.02,2080.56,12787.18,16145.76,4028.3,369.45,3514.47,1121.11,1661.3,0,0,Loyal
000f6f0b33b54e7ac3cf24b6197d4c23dfb84bb99cdd8e906607744d5a7253b8,17510.21,1917.47,23536.1,4886.59,1987.26,23488.29,14764.26,205.43,1768.9,870.75,816.18,3743.3,0,0,Loyal
00109a468f8c335eea92dee4e8a15bd97826f100995a14a7c1212d22fe7941af,4310.56,115.98,1253.6,776.98,157.01,11145.58,956.75,784.99,389.3,231.5,128.4,297.18,0,0,Loyal
0010f43ab742556f8e12e45c5b8d133704ff540c90369df14cfe97b61f803aaa,3175.36,447.57,1655.98,642.24,1013.82,1054.02,11895.289999999999,4513.62,1396.12,603.62,1067.35,3157.2599999999998,0,0,Loyal
00124be78618baf97b88d5e56f5da5bfb541a3aa8e595cd3469962578333e668,8670.67,863.09,20137.29,16124.17,461.64,7762.85,17108.39,3649.04,3950.46,263.04,1242.04,5654.53,0,0,Loyal
001264840e8f3eff93d4dfbea2dbd886473a2b7434dc99dd48004d557a2040f4,15513.96,1954.25,19018.31,5749.58,1896.8,20936.2,8560.19,3202.62,1091.05,1673.08,211.25,164.17000000000002,0,0,Loyal
001308b87b2056d4d5b6ecd213849080418506d0977e42dd60071150c01ffd4f,2025.32,117.15,2130.42,745.13,207.78,23157.39,1181.8899999999999,747.07,524.95,248.54,2134.7000000000003,422.27,0,0,Loyal
001394687ac60b53d879bf90ac55d62ff01bb7e746c8a922787b4f6c4bb09e3c,6047.87,1363.21,8108.52,12199.71,1326.63,21790.79,20055.59,3980.75,1107.19,2387.59,4069.08,2264.93,0,0,Loyal
0013acdce600055ef144c495f1b73fb0a5d667dcd2f162f8c762481fe5afa16f,4203.43,826.61,15488.59,3563.38,461.83,27590.44,13502.59,1006.82,1265.87,587.73,3953.48,2515.7599999999998,0,0,Loyal
00148c0f11785a5685db76e429c73c9ecce9e4f78e1673eec61b125f7cdd51f0,10855.210000000001,1822.11,17617.77,11312.26,1269.59,19131.23,20215.11,4175.96,3530.36,231.82,3102.15,3155.72,0,0,Loyal
0015186d69bd5c8f47e95ce547d293bad7b246c244def5e6d9c275c7250aed14,2999.51,800.99,1637.1,1218.15,235.69,11381.01,8900.56,532.87,387.15,2280.08,4068.17,244.82999999999998,0,0,Loyal
00160672ea739f619344d2d1bcd2361236e3b58eee34e999cec13fd2a4e007d6,21741.47,1769.1,17002.88,12608.12,1969.54,1199.65,5947.98,678.57,475.2,4668.0,831.14,1589.98,0,0,Loyal
00169e53adebaef971ba996fadec3eb002bf7774702fca4b305fabe2a2f5e13c,4567.32,2383.94,20082.66,4212.11,662.0600000000001,18667.52,13666.63,3884.56,1775.6399999999999,303.3,1965.76,3089.31,0,0,Loyal
0016ed415187083cac795d10d7e5dde6fe8bbb3582dc8b7247b115bd22e8ef4a,3402.45,282.71,5351.6,928.09,2523.97,1834.58,19920.23,2655.29,297.43,1044.38,4206.03,237.14000000000001,0,0,Loyal
